"Political Party","Surname","First Name","Other Names","Preferred Name","Initials","Courtesy Title","Salutation","Honorific","Gender","Parliament House Telephone","Parliament House Fax","State","Electorate","Electorate Office Postal Address","Electorate Office Postal Suburb","Electorate Office Postal State","Electorate Office Postal PostCode","Electorate Office Fax","Electorate Office Phone","Electorate Office Toll Free","Parliamentary Titles"
ALP,Lyons,Geoffrey,Raymond,Geoff,G. R.,Mr,Mr,MP,MALE,(02) 6277 4735,(02) 6277 8577,Tas,Bass,PO Box 5035,Launceston,Tas,7250,(03) 6334 7055,(03) 6334 7033,,
ALP,Macklin,Jennifer,Louise,Jenny,J. L.,Hon,Ms,MP,FEMALE,(02) 6277 7560,(02) 6273 4122,Vic,Jagajaga,PO Box 316,Heidelberg,Vic,3084,(03) 9457 5721,(03) 9459 1411,,"Minister for Families, Housing, Community Services and Indigenous Affairs"
ALP,Marles,Richard,Donald,,R. D.,Hon,Mr,MP,MALE,(02) 6277 4330,(02) 6277 8488,Vic,Corio,17A Yarra Street,Geelong,Vic,3220,(03) 5222 4505,(03) 5221 3033,,Parliamentary Secretary for Pacific Island Affairs
ALP,McClelland,Robert,Bruce,,R. B.,Hon,Mr,MP,MALE,(02) 6277 7300,(02) 6273 4102,NSW,Barton,PO Box 861,Hurstville,NSW,2220,(02) 9585 9200,(02) 9585 9100,,Attorney-General
ALP,Melham,Daryl,,,D.,Mr,Mr,MP,MALE,(02) 6277 2054,(02) 6277 4476,NSW,Banks,PO Box 775,Revesby,NSW,2212,(02) 9774 5461,(02) 9774 2111,,
ALP,Mitchell,Robert,George,Rob,R. G.,Mr,Mr,MP,MALE,(02) 6277 4117,(02) 6277 8443,Vic,McEwen,"Suite 4B, 61 High Street",Wallan,Vic,3756,(03) 5783 4889,"(03) 5783 4880, 1300 701 966",,
ALP,Murphy,John,Paul,,J. P.,Hon,Mr,MP,MALE,(02) 6277 4099,(02) 6277 8530,NSW,Reid,"Suite 103, 3 Railway Parade",Burwood,NSW,2134,(02) 9745 2825,(02) 9745 4433,,
ALP,Neumann,Shayne,Kenneth,,S. K.,Mr,Mr,MP,MALE,(02) 6277 4755,(02) 6277 8533,Qld,Blair,PO Box 5117,Brassall,Qld,4305,(07) 3201 5311,(07) 3201 5300,1300 792 714,
ALP,O'Connor,Brendan,Patrick John,,B. P. J.,Hon,Mr,MP,MALE,(02) 6277 7290,(02) 6273 7098,Vic,Gorton,900A Old Calder Highway,Keilor,Vic,3036,(03) 8361 6577,(03) 8361 6588,,"Minister for Privacy and Freedom of Information, Minister for Home Affairs, Minister for Justice"
ALP,O'Neill,Deborah,Mary,Deb,D.M,Ms,Ms,MP,FEMALE,(02) 6277 4070,(02) 6277 8593,NSW,Robertson,PO Box 577,Gosford,NSW,2250,(02) 4322 2066,(02) 4322 1922,,
ALP,Owens,Julie,,,J.,Ms,Ms,MP,FEMALE,(02) 6277 4134,(02) 6277 8433,NSW,Parramatta,"Suite 1, 25 Smith Street (Entry via Macquarie Street, opposite the Post Office)",Parramatta,NSW,2150,(02) 9689 3813,(02) 9689 1455,,
ALP,Parke,Melissa,,,M.,Ms,Ms,MP,FEMALE,(02) 6277 2189,(02) 6277 8430,WA,Fremantle,PO Box 1224,Fremantle,WA,6959,(08) 9336 1059,(08) 9335 8555,,
ALP,Perrett,Graham,Douglas,,G. D.,Mr,Mr,MP,MALE,(02) 6277 4542,(02) 6277 8419,Qld,Moreton,"PO Box 419, Sunnybank Plaza",Sunnybank,Qld,4109,(07) 3344 4276,(07) 3344 2622,,
ALP,Plibersek,Tanya,Joan,,T. J.,Hon,Ms,MP,FEMALE,(02) 6277 7200,(02) 6273 4406,NSW,Sydney,150 Broadway,Broadway,NSW,2007,(02) 9379 0701,(02) 9379 0700,,"Minister for Social Inclusion, Minister for Human Services"
ALP,Ripoll,Bernard,Fernando,Bernie,B. F.,Mr,Mr,MP,MALE,(02) 6277 4934,(02) 6277 8584,Qld,Oxley,PO Box 555,Goodna,Qld,4300,(07) 3818 1181,(07) 3818 3900,,
ALP,Rishworth,Amanda,Louise,,A. L.,Ms,Ms,MP,FEMALE,(02) 6277 2293,(02) 6277 8498,SA,Kingston,232 Main South Road,Morphett Vale,SA,5162,(08) 8186 2688,(08) 8186 2588,1300 797 211,
ALP,Rowland,Michelle,Anne,Michelle,M. A.,Ms,Ms,MP,FEMALE,(02) 6277 4833,(02) 6277 8586,NSW,Greenway,PO Box 686,Seven Hills,NSW,1730,(02) 9671 5147,(02) 9671 4780,,
ALP,Roxon,Nicola,Louise,,N. L.,Hon,Ms,MP,FEMALE,(02) 6277 7220,(02) 6273 4146,Vic,Gellibrand,1 Thomas Holmes Street,Maribyrnong,Vic,3032,(03) 9317 7477,(03) 9317 7077,,Minister for Health and Ageing
ALP,Rudd,Kevin,Michael,,K. M.,Hon,Mr,MP,MALE,(02) 6277 7500,(02) 6273 4112,Qld,Griffith,PO Box 476,Morningside,Qld,4170,(07) 3899 5755,(07) 3899 4031,,Minister for Foreign Affairs
ALP,Saffin,Janelle,Anne,,J. A.,Ms,Ms,MP,FEMALE,(02) 6277 4323,(02) 6277 8501,NSW,Page,61-63 Molesworth Street,Lismore,NSW,2480,(02) 6621 9959,(02) 6621 9909,,
ALP,Shorten,William,Richard,Bill,W. R.,Hon,Mr,MP,MALE,(02) 6277 7360,(02) 6273 4125,Vic,Maribyrnong,PO Box 214,Moonee Ponds,Vic,3039,(03) 9326 0611,(03) 9326 1300,,"Assistant Treasurer, Minister for Financial Services and Superannuation"
ALP,Sidebottom,Peter,Sid,Sid,P. S.,Mr,Mr,MP,MALE,(02) 6277 4911,(02) 6277 8547,Tas,Braddon,PO Box 908,Burnie,Tas,7320,(03) 6431 5680,(03) 6431 1333,,
ALP,Smith,Stephen,Francis,,S. F.,Hon,Mr,MP,MALE,(02) 6277 7800,(02) 6273 4118,WA,Perth,PO Box 901,Inglewood,WA,6932,(08) 9272 3477,(08) 9272 3411,,"Minister for Defence, Deputy Leader of the House"
ALP,Smyth,Laura,,,L.,Ms,Ms,MP,FEMALE,(02) 6277 4114,(02) 6277 8467,Vic,La Trobe,Unit 3/16 Langmore Lane,Berwick,Vic,3806,(03) 9768 9152,(03) 9796 1788,,
ALP,Snowdon,Warren,Edward,,W. E.,Hon,Mr,MP,MALE,(02) 6277 7820,(02) 6273 4140,NT,Lingiari,PO Box 4007,Alice Springs,NT,870,(08) 8952 5922,(08) 8952 9696,,"Minister for Veterans' Affairs, Minister for Defence Science and Personnel, Minister for Indigenous Health"
ALP,Swan,Wayne,Maxwell,,W. M.,Hon,Mr,MP,MALE,(02) 6277 7340,(02) 6273 3420,Qld,Lilley,PO Box 182,Nundah,Qld,4012,(07) 3266 4263,(07) 3266 8244,,"Deputy Prime Minister, Treasurer"
ALP,Symon,Michael,Stuart,Mike,M. S.,Mr,Mr,MP,MALE,(02) 6277 4255,(02) 6277 8451,Vic,Deakin,PO Box 232,Mitcham,Vic,3132,(03) 9874 4644,(03) 9874 4544,,
ALP,Thomson,Craig,Robert,,C. R.,Mr,Mr,MP,MALE,(02) 6277 4460,(02) 6277 2123,NSW,Dobell,PO Box 3763,Tuggerah,NSW,2259,(02) 4353 6480,(02) 4351 1223,,
ALP,Thomson,Kelvin,John,,K. J.,Mr,Mr,MP,MALE,(02) 6277 4633,(02) 6277 8409,Vic,Wills,3 Munro Street,Coburg,Vic,3058,(03) 9350 6613,(03) 9350 5777,,
ALP,Vamvakinou,Maria,,,M.,Ms,Ms,MP,FEMALE,(02) 6277 4249,(02) 6277 8426,Vic,Calwell,"Office 6, 1100 Pascoe Vale Road",Broadmeadows,Vic,3047,(03) 9309 4255,(03) 9309 3655,,
ALP,Zappia,Antonio,,Tony,A.,Mr,Mr,MP,MALE,(02) 6277 4147,(02) 6277 8592,SA,Makin,PO Box 775,Modbury,SA,5092,(08) 8265 3900,(08) 8265 3100,,
CLP,Griggs,Natasha,Louise,,N. L.,Mrs,Mrs,MP,FEMALE,(02) 6277 2392,(02) 6277 8479,NT,Solomon,PO Box 2163,Darwin,NT,801,(08) 8981 8731,(08) 8981 3434,,
Ind.,Katter,Robert,Carl,Bob,R. C.,Hon,Mr,MP,MALE,(02) 6277 4978,(02) 6277 8558,Qld,Kennedy,PO Box 1638,Innisfail,Qld,4860,(07) 4061 6566,(07) 4061 6066,,
Ind.,Oakeshott,Robert,James Murray,Robert,R. J. M.,Mr,Mr,MP,MALE,(02) 6277 4052,(02) 6277 8403,NSW,Lyne,PO Box 1112,Port Macquarie,NSW,2444,(02) 6584 2922,(02) 6584 2911,,
Ind.,Wilkie,Andrew,Damien,Andrew,A. D.,Mr,Mr,MP,MALE,(02) 6277 4766,(02) 6277 8579,Tas,Denison,GPO Box 32,Hobart,Tas,7001,(03) 6223 8560,(03) 6234 5255,,
Ind.,Windsor,Antony,Harold Curties,Tony,A. H. C.,Mr,Mr,MP,MALE,(02) 6277 4722,(02) 6277 8545,NSW,New England,PO Box 963,Tamworth,NSW,2340,(02) 6761 3380,(02) 6761 3080,1300 301 839,
LP,Abbott,Anthony,John,Tony,A. J.,Hon,Mr,MP,MALE,(02) 6277 4022,(02) 6277 8562,NSW,Warringah,PO Box 450,Manly,NSW,2095,(02) 9977 8715,(02) 9977 6411,,Leader of the Opposition
LP,Alexander,John,Gilbert,John,J. G.,Mr,Mr,"OAM, MP",MALE,(02) 6277 4804,(02) 6277 8581,NSW,Bennelong,PO Box 872,Epping,NSW,2121,(02) 9869 4833,(02) 9869 4288,,
LP,Andrews,Karen,Lesley,Karen,K. L.,Mrs,Mrs,MP,FEMALE,(02) 6277 4360,(02) 6277 8462,Qld,McPherson,PO Box 409,Varsity Lakes,Qld,4227,(07) 5580 9700,(07) 5580 9111,,
LP,Andrews,Kevin,James,,K. J.,Hon,Mr,MP,MALE,(02) 6277 4585,(02) 6277 8566,Vic,Menzies,PO Box 124,Doncaster,Vic,3108,(03) 9848 2741,(03) 9848 9900,,
LP,Baldwin,Robert,Charles,Bob,R. C.,Hon,Mr,MP,MALE,(02) 6277 4200,(02) 6277 8447,NSW,Paterson,PO Box 156,Raymond Terrace,NSW,2324,(02) 4987 5444,(02) 4983 1330,,
LP,Billson,Bruce,Fredrick,,B. F.,Hon,Mr,MP,MALE,(02) 6277 4257,(02) 6277 8516,Vic,Dunkley,PO Box 501,Frankston,Vic,3199,(03) 9783 7912,(03) 9781 2333,,
LP,Bishop,Bronwyn,Kathleen,,B. K.,Hon,Mrs,MP,FEMALE,(02) 6277 4382,(02) 6277 8424,NSW,Mackellar,"Shop 1, 1238-1246 Pittwater Road",Narrabeen,NSW,2101,(02) 9913 9577,(02) 9913 9566,,
LP,Bishop,Julie,Isabel,,J. I.,Hon,Ms,MP,FEMALE,(02) 6277 2102,(02) 6277 8497,WA,Curtin,"PO Box 2010,",Subiaco,WA,6904,(08) 9388 0299,(08) 9388 0288,,Deputy Leader of the Opposition
LP,Briggs,Jamie,Edward,Jamie,J. E.,Mr,Mr,MP,MALE,(02) 6277 4120,(02) 6277 8414,SA,Mayo,PO Box 1601,Mount Barker,SA,5251,(08) 8398 5577,(08) 8398 5566,,
LP,Broadbent,Russell,Evan,,R. E.,Mr,Mr,MP,MALE,(02) 6277 4233,(02) 6277 8485,Vic,McMillan,46C Albert Street,Warragul,Vic,3820,(03) 5623 2509,(03) 5623 2064,,
LP,Buchholz,Scott,,,S.,Mr,Mr,MP,MALE,(02) 6277 4449,(02) 6277 8408,Qld,Wright,PO Box 628,Beaudesert,Qld,4285,(07) 5541 4150,(07) 5541 0150,,
LP,Ciobo,Steven,Michele,,S. M.,Mr,Mr,MP,MALE,(02) 6277 2330,(02) 6277 8452,Qld,Moncrieff,PO Box 4922,Gold Coast Mail Centre,Qld,9726,(07) 5504 6944,(07) 5504 6000,,
LP,Dutton,Peter,Craig,,P. C.,Hon,Mr,MP,MALE,(02) 6277 4884,(02) 6277 8572,Qld,Dickson,PO Box 2012,Strathpine,Qld,4500,(07) 3205 5111,(07) 3205 9977,,
LP,Entsch,Warren,George,Warren,W. G.,Hon,Mr,MP,MALE,(02) 6277 4088,(02) 6277 8468,Qld,Leichhardt,PO Box 14,Bungalow,Qld,4870,(07) 4031 1592,(07) 4051 2220,,Chief Opposition Whip
LP,Fletcher,Paul,William,Paul,P. W.,Mr,Mr,MP,MALE,(02) 6277 4240,(02) 6277 8457,NSW,Bradfield,"Suite 8, 12 Tryon Road",Lindfield,NSW,2070,(02) 9465 3999,(02) 9465 3950,,
LP,Frydenberg,Joshua,Anthony,Josh,J. A.,Mr,Mr,MP,MALE,(02) 6277 4606,(02) 6277 8546,Vic,Kooyong,695 Burke Road,Camberwell,Vic,3124,(03) 9882 3773,(03) 9882 3677,,
LP,Gambaro,Teresa,,,T.,Hon,Ms,MP,FEMALE,(02) 6277 4331,(02) 6277 8515,Qld,Brisbane,PO Box 98,Grange,Qld,4051,,(07) 3356 1555,,
LP,Gash,Joanna,,,J.,Mrs,Mrs,MP,FEMALE,(02) 6277 4357,(02) 6277 8475,NSW,Gilmore,PO Box 1009,Nowra,NSW,2541,(02) 4423 1785,(02) 4423 1782,,
LP,Haase,Barry,Wayne,,B. W.,Mr,Mr,MP,MALE,(02) 6277 4154,(02) 6277 8576,WA,Durack,PO Box 1781,Geraldton,WA,6531,(08) 9921 7990,(08) 9964 2195,,
LP,Hawke,Alexander,George,Alex,A. G.,Mr,Mr,MP,MALE,(02) 6277 4430,(02) 6277 8522,NSW,Mitchell,PO Box 1173,Castle Hill,NSW,1765,(02) 9899 7990,(02) 9899 7211,,
LP,Hockey,Joseph,Benedict,Joe,J. B.,Hon,Mr,MP,MALE,(02) 6277 4854,(02) 6277 8401,NSW,North Sydney,PO Box 1107,North Sydney,NSW,2059,(02) 9929 9833,(02) 9929 9822,,
LP,Hunt,Gregory,Andrew,Greg,G. A.,Hon,Mr,MP,MALE,(02) 6277 2276,(02) 6277 8446,Vic,Flinders,PO Box 274,Hastings,Vic,3915,(03) 5979 3034,(03) 5979 3188,,
LP,Irons,Stephen,James,Steve,S. J.,Mr,Mr,MP,MALE,(02) 6277 4337,(02) 6277 8494,WA,Swan,PO Box 1060,East Victoria Park,WA,6981,(08) 9355 0199,(08) 9355 0099,,
LP,Jensen,Dennis,Geoffrey,Dennis,D. G.,Dr,Dr,MP,MALE,(02) 6277 4156,(02) 6277 8460,WA,Tangney,PO Box 329,Willetton,WA,6955,(08) 9354 9233,(08) 9354 9633,,
LP,Jones,Ewen,Thomas,,E. T.,Mr,Mr,MP,MALE,(02) 6277 4693,(02) 6277 8551,Qld,Herbert,PO Box 226,Aitkenvale,Qld,4814,(07) 4725 2088,(07) 4725 2066,,
LP,Keenan,Michael,,,M.,Mr,Mr,MP,MALE,(02) 6277 4223,(02) 6277 8490,WA,Stirling,PO Box 261,Osborne Park,WA,6917,(08) 9440 3988,(08) 9440 3999,,
LP,Kelly,Craig,,,C.,Mr,Mr,MP,MALE,(02) 6277 4366,(02) 6277 8567,NSW,Hughes,"PO Box 1014,",Sutherland,NSW,1499,(02) 9545 0927,(02) 9521 6262,,
LP,Laming,Andrew,,,A.,Mr,Mr,MP,MALE,(02) 6277 4258,(02) 6277 8503,Qld,Bowman,PO Box 8024,Cleveland,Qld,4163,(07) 3821 3799,(07) 3821 0155,,
LP,Ley,Sussan,Penelope,,S. P.,Hon,Ms,MP,FEMALE,(02) 6277 4503,(02) 6277 8431,NSW,Farrer,PO Box 672,Albury,NSW,2640,(02) 6021 6620,(02) 6021 3264,1300 303 203,
LP,Macfarlane,Ian,Elgin,,I. E.,Hon,Mr,MP,MALE,(02) 6277 4433,(02) 6277 8492,Qld,Groom,PO Box 777,Toowoomba,Qld,4350,(07) 4638 2147,(07) 4632 4144,,
LP,Marino,Nola,Bethwyn,,N. B.,Ms,Ms,MP,FEMALE,(02) 6277 2318,(02) 6277 8450,WA,Forrest,"Unit 3, 9 Cassowary Bend",Eaton,WA,6232,(08) 9725 2444,(08) 9725 2300,,Opposition Whip
LP,Markus,Louise,Elizabeth,Louise,L. E.,Mrs,Mrs,MP,FEMALE,(02) 6277 2371,(02) 6277 8463,NSW,Macquarie,PO Box 855,Windsor,NSW,2756,(02) 4577 2640,(02) 4577 2631,,
LP,Matheson,Russell,Glenn,Russell,R. G.,Mr,Mr,MP,MALE,(02) 6277 2035,(02) 6277 8486,NSW,Macarthur,PO Box 1065,Camden,NSW,2570,(02) 4655 7690,(02) 4655 7600,,
LP,Mirabella,Sophie,,,S.,Mrs,Mrs,MP,FEMALE,(02) 6277 2301,(02) 6277 8448,Vic,Indi,117 Murphy Street,Wangaratta,Vic,3677,(03) 5721 8196,(03) 5721 5377,,
LP,Morrison,Scott,John,,S. J.,Mr,Mr,MP,MALE,(02) 6277 2086,(02) 6277 8571,NSW,Cook,PO Box 1306,Cronulla,NSW,2230,(02) 9523 8959,(02) 9523 0339,,
